,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Rise Time:,Bake Time:
0,7970341,Chef John's Chocolate Chip Pumpkin Bread,15 mins, 1 hr,45 mins, 2 hrs,8 ,1 pumpkin bread loaf,8,435,19g,4g,47mg,383mg,63g,4g,37g,6g,2mg,54mg,3mg,247mg,5.0,1,,,
1,6663335,Downeast Maine Pumpkin Bread,10 mins,50 mins,, 1 hr,24 ,2 (9x5-inch) loaves,24,263,10g,2g,31mg,305mg,41g,1g,26g,3g,1mg,14mg,1mg,69mg,4.8,"10,306",,,
2,6739341,Easy Pumpkin Muffins,10 mins,20 mins,,30 mins,12 ,,12,200,5g,1g,1mg,369mg,37g,2g,20g,2g,2mg,70mg,1mg,110mg,4.5,838,,,
3,6650566,Chocolate Chip Pumpkin Bread,20 mins, 1 hr,, 1 hr 20 mins,30 ,3 (9x5-inch) loaves,30,252,11g,2g,25mg,201mg,37g,1g,24g,3g,1mg,17mg,1mg,86mg,4.7,863,,,
4,6648357,Pumpkin Muffins with Streusel Topping,30 mins,25 mins,,55 mins,18 ,18 muffins,18,277,11g,2g,34mg,312mg,43g,2g,25g,4g,1mg,43mg,2mg,109mg,4.8,426,,,
5,6589082,Easy Pumpkin Chocolate Chip Bread,15 mins, 1 hr,, 1 hr 15 mins,10 ,10 servings,10,338,15g,9g,57mg,335mg,49g,3g,30g,4g,1mg,36mg,2mg,152mg,4.8,43,,,
6,6569503,The Best Pumpkin Bread,20 mins,50 mins,, 1 hr 10 mins,24 ,3 7x3-inch loaves,24,232,10g,2g,31mg,305mg,32g,1g,17g,3g,1mg,15mg,1mg,70mg,4.7,15,,,
7,6664657,Pumpkin Chocolate Chip Muffins,10 mins,20 mins,,30 mins,12 ,,12,197,8g,2g,31mg,181mg,30g,1g,17g,3g,1mg,32mg,1mg,87mg,4.5,"1,439",,,
8,6664700,Banana Pumpkin Bread,20 mins,45 mins,, 1 hr 5 mins,12 ,1 9x5-inch loaf pan,12,328,11g,2g,31mg,258mg,56g,3g,30g,5g,3mg,54mg,2mg,275mg,4.3,547,,,
9,6604377,Copycat Starbucks Pumpkin Bread,15 mins, 1 hr 10 mins,, 1 hr 55 mins,8 slices,1 loaf,8,430,24g,4g,93mg,426mg,50g,2g,31g,6g,1mg,49mg,2mg,118mg,4.6,160,30 mins,,
10,6648579,Pumpkin Pie Muffins,20 mins,30 mins,,50 mins,24 ,2 dozen muffins,24,241,6g,1g,31mg,336mg,46g,4g,25g,3g,1mg,24mg,1mg,102mg,4.7,205,,,
11,6826666,Pumpkin Conchas,30 mins,,20 mins, 3 hrs 55 mins,6 ,6 conchas,6,393,13g,8g,66mg,445mg,61g,3g,,8g,,,,150mg,5.0,3,, 2 hrs 45 mins,20 mins
12,6581580,Pumpkin Pie Bread,15 mins, 1 hr,, 1 hr 15 mins,24 ,2 - 9x5 inch loaves,24,263,10g,2g,31mg,277mg,41g,1g,26g,3g,1mg,25mg,1mg,69mg,4.7,578,,,
13,6649427,Pumpkin Cheese Bread II,20 mins, 1 hr 20 mins,, 1 hr 40 mins,15 ,2 - 8x4 inch loaves,15,293,14g,5g,54mg,221mg,40g,1g,27g,4g,1mg,26mg,1mg,83mg,4.6,218,,,
14,6591386,Perfect Pumpkin Muffins,10 mins,25 mins,,35 mins,14 ,14 muffins,14,224,11g,7g,53mg,421mg,30g,1g,16g,3g,1mg,32mg,1mg,105mg,4.8,33,,,
15,6576034,Pumpkin Bread,30 mins, 1 hr 30 mins,, 2 hrs,20 ,2 loaves,20,319,13g,1g,37mg,450mg,49g,1g,31g,4g,1mg,28mg,2mg,91mg,4.7,485,,,
16,6568318,Pumpkin Apple Streusel Muffins,15 mins,45 mins,, 1 hr,18 ,18 muffins,18,249,8g,1g,23mg,182mg,43g,1g,27g,3g,1mg,14mg,1mg,74mg,4.7,"1,225",,,
17,6737956,Pumpkin Gingerbread,15 mins,45 mins,, 1 hr,24 ,2 - 9x5 inch loaves,24,263,10g,2g,31mg,313mg,41g,1g,26g,3g,1mg,19mg,1mg,72mg,4.8,"1,536",,,
18,6574615,Delicious Pumpkin Bread,10 mins, 1 hr,, 1 hr 10 mins,24 ,3 7x3-inch loaves,24,256,10g,2g,31mg,239mg,39g,1g,,3g,1mg,12mg,1mg,77mg,4.8,678,,,
19,6739475,Banana Nut Bread Baked in a Jar,10 mins,45 mins,, 1 hr 5 mins,24 ,8 (1 pint) jars,,,,,,,,,,,,,,,4.8,273,10 mins,,
20,6736969,Pumpkin Muffins II,20 mins,25 mins,,45 mins,12 ,1 dozen,12,383,14g,3g,47mg,438mg,61g,2g,34g,5g,4mg,36mg,2mg,189mg,4.6,759,,,
21,6576505,Pumpkin Gut Chocolate Chip Muffins,20 mins,20 mins,,40 mins,12 ,12 big muffins,12,495,19g,11g,70mg,425mg,79g,3g,43g,7g,1mg,187mg,4mg,245mg,4.5,2,,,
22,6577812,Dairy-Free Pumpkin Bread,10 mins, 1 hr,, 2 hrs 20 mins,12 ,1 9x5-inch loaf,,,,,,,,,,,,,,,4.8,14, 1 hr 10 mins,,
23,6599500,Baked Pumpkin Bread,10 mins, 1 hr,, 1 hr 10 mins,12 ,1 - 9x5 inch loaf,12,162,3g,2g,21mg,410mg,32g,1g,19g,3g,1mg,40mg,1mg,106mg,4.5,303,,,
24,6578747,Applesauce Pumpkin Bread,20 mins, 1 hr,, 2 hrs 20 mins,16 ,2 9x5-inch loaves,16,278,6g,2g,47mg,457mg,54g,3g,33g,5g,2mg,62mg,2mg,161mg,4.3,27, 1 hr,,
25,6598559,Pumpkin Oat Bread,15 mins,40 mins,, 1 hr 10 mins,22 ,2 8x4-inch loaves,22,206,8g,2g,34mg,212mg,30g,2g,11g,4g,1mg,48mg,2mg,102mg,3.7,31,15 mins,,
26,6586912,Pumpkin Cranberry Bread,20 mins,50 mins,, 1 hr 10 mins,14 ,,14,360,15g,2g,26mg,230mg,55g,3g,37g,5g,2mg,55mg,2mg,138mg,4.5,216,,,
27,6602410,Whole Wheat Pumpkin Applesauce Muffins,20 mins,15 mins,,40 mins,12 ,1 dozen,12,227,8g,1g,28mg,273mg,38g,3g,21g,5g,0mg,53mg,1mg,163mg,4.5,230,5 mins,,
28,6570742,October Oatmeal Pumpkin Muffins,15 mins,20 mins,,40 mins,6 ,6 large muffins,6,264,3g,1g,64mg,711mg,53g,4g,28g,7g,2mg,103mg,3mg,277mg,4.4,182,5 mins,,
29,6574470,Whole Wheat Pumpkin Bread,10 mins,50 mins,, 1 hr 20 mins,18 ,1 9x5-inch loaf,18,179,8g,1g,18mg,189mg,25g,2g,15g,3g,1mg,27mg,1mg,131mg,4.7,13,20 mins,,
30,6577150,Easy Pumpkin Spice Muffins,10 mins,25 mins,,45 mins,18 ,18 muffins,18,248,12g,4g,1mg,281mg,32g,2g,22g,4g,1mg,64mg,1mg,163mg,4.6,22,10 mins,,
31,6599462,Pumpkin Spinach Toddler Muffins,15 mins,20 mins,,45 mins,24 ,24 muffins,24,96,6g,1g,23mg,134mg,10g,2g,3g,2g,1mg,30mg,1mg,101mg,4.3,9,10 mins,,
32,6605657,Pumpkin Banana Oat Muffins,25 mins,25 mins,,50 mins,12 ,12 muffins,12,427,24g,10g,52mg,469mg,51g,5g,29g,7g,3mg,90mg,3mg,340mg,4.8,11,,,
33,6583843,Healthy Pumpkin Cranberry Muffins,25 mins,25 mins,,55 mins,12 ,1 dozen muffins,12,149,3g,1g,16mg,236mg,28g,2g,16g,3g,2mg,44mg,1mg,119mg,4.7,83,5 mins,,
